feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Selenomonas	group	LPRD	-2.72204540125215	0.354738089470482	151	145	2.02635258711288e-12	4.53902979513286e-10
g__Veillonella	group	LPRD	-2.39870885532392	0.322022853756503	151	151	7.0537979528911e-12	7.90025370723803e-10
g__Alloprevotella	group	LPRD	-1.32514131331814	0.18460388014542	151	151	3.10510268537704e-11	2.31847667174819e-09
g__Megasphaera	group	LPRD	-2.91036619943009	0.412809302477927	151	131	6.21125992067991e-11	3.47830555558075e-09
g__Dialister	group	LPRD	-2.1274729937006	0.341466198558786	151	137	4.52388315731403e-09	2.02669965447669e-07
g__Peptococcus	group	LPRD	-2.15055554090498	0.368016915734498	151	131	3.0987261177415e-08	1.15685775062349e-06
g__Moraxella	group	LPRD	-3.19702900873246	0.589076276789898	151	116	2.26932213778529e-07	7.26183084091292e-06
g__Treponema	group	LPRD	-2.25644823099007	0.436908469604157	151	134	7.60324541858395e-07	2.12890871720351e-05
g__Mitsuokella	group	LPRD	-2.02340865374966	0.422140677349568	151	54	3.93516820866399e-06	9.79419643045261e-05
Unclassified_NA.8	group	LPRD	1.39802411574388	0.303882512520003	151	32	8.94268818231585e-06	0.000188916002522558
g__Haemophilus	group	LPRD	-2.95275996620773	0.643050906732568	151	144	9.27712512387561e-06	0.000188916002522558
g__Neisseria	group	LPRD	-2.216642689237	0.488207301428193	151	151	1.15022933851386e-05	0.000214709476522587
g__Eggerthia	group	LPRD	1.38155607126965	0.317418957396268	151	43	2.48785764457957e-05	0.000428677009527557
g__Lautropia	group	LPRD	-1.58108344284877	0.383859552948824	151	126	6.288223655953e-05	0.00100611578495248
g__Parabacteroides	group	LPRD	1.7532146051019	0.430321849450674	151	63	7.47912921617103e-05	0.00111688329628154
g__Granulicatella	group	LPRD	-2.08744589498151	0.525466663058527	151	129	0.000110378415297382	0.00154529781416335
g__Aggregatibacter	group	LPRD	-1.87637258623984	0.474459067839748	151	146	0.000118077217233037	0.00155584098001178
g__Streptococcus	group	LPRD	-1.43330547351474	0.367157267567572	151	151	0.000143061188813186	0.00168661612074493
g__Sneathia	group	LPRD	-1.75535595535872	0.448983787011814	151	114	0.000139968215429474	0.00168661612074493
g__Achromobacter	group	LPRD	-0.832685443111029	0.216903758366413	151	40	0.000182147848583578	0.00204005590413608
g__Moryella	group	LPRD	-0.749823185363576	0.198668667534505	151	142	0.000231151088643334	0.00246561161219556
g__Gemella	group	LPRD	-1.49827280070546	0.404470661545325	151	140	0.0002980656678709	0.00303485043650371
g__Rothia	group	LPRD	0.713285992057565	0.201891141513565	151	151	0.00054735379942441	0.00454100929892844
g__Erysipelotrichaceae..G1.	group	LPRD	1.09248100171158	0.308249283800291	151	41	0.000526498733732457	0.00454100929892844
g__Agathobacter	group	LPRD	1.80113545103994	0.506073954700978	151	107	0.00049975737788849	0.00454100929892844
g__Odoribacteraceae..G3.	group	LPRD	1.27393595039081	0.358874659512595	151	124	0.000516178204145144	0.00454100929892844
g__Porphyromonas	group	LPRD	0.723029140804273	0.204183827380557	151	151	0.00053219297513843	0.00454100929892844
g__Nanogingivalis	group	LPRD	1.68806597455754	0.506385673551174	151	124	0.00108180743255252	0.00865445946042013
g__Peptostreptococcus	group	LPRD	0.836355060695442	0.253095531478095	151	151	0.00119177921058705	0.00912482576911754
g__Clostridiales..F1.G2.	group	LPRD	1.46589987820693	0.44462445900532	151	86	0.00122207487979253	0.00912482576911754
g__Desulfovibrio	group	LPRD	-1.38146064285014	0.421859001968258	151	123	0.00131537101865615	0.00950461639287021
g__Campylobacter	group	LPRD	-0.881408925806431	0.275722358170486	151	151	0.00169745086047901	0.0118821560233531
