feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Centipeda	group	LPRD	-3.6955150283438	0.381320803728063	151	94	1.59062397665302e-17	8.01674484233123e-15
g__Selenomonas	group	LPRD	-3.52880093921437	0.400056128761036	151	138	2.80364728689993e-15	7.06519116298782e-13
g__Veillonella	group	LPRD	-2.39774559831112	0.322981071070253	151	151	8.10065704991848e-12	1.3609103843863e-09
g__Megasphaera	group	LPRD	-3.05157918247431	0.423881478354174	151	128	2.77258063958297e-11	2.79476128469963e-09
g__Alloprevotella	group	LPRD	-1.33934408099521	0.186025116568955	151	151	2.76250485881483e-11	2.79476128469963e-09
g__Peptococcus	group	LPRD	-2.32145770902277	0.325740492816775	151	130	4.10756568463909e-11	3.45035517509684e-09
g__Moraxella	group	LPRD	-4.18654047436115	0.624123961865394	151	109	3.84392151012629e-10	2.76762348729093e-08
Unclassified_f__Selenomonadaceae	group	LPRD	-2.37677421892699	0.358535891842455	151	131	5.81000757378259e-10	3.66030477148303e-08
g__Dialister	group	LPRD	-2.24591805176244	0.364429513718392	151	131	6.36279805858827e-09	3.56316691280943e-07
g__Ruminococcus	group	LPRD	2.5074544633198	0.436924122168522	151	68	5.15520503485244e-08	2.59822333756563e-06
g__P5D1.392	group	LPRD	2.4459601631546	0.472992570838381	151	55	7.37688827838763e-07	3.37995608391579e-05
g__Sneathia	group	LPRD	-1.65016213974798	0.322519321409639	151	49	9.44943925516955e-07	3.96876448717121e-05
g__Treponema	group	LPRD	-2.25845561989072	0.443318994721347	151	132	1.04349970632172e-06	4.04556809220115e-05
g__uncultured.18	group	LPRD	-1.38933203115864	0.2860297475381	151	48	2.9800947349028e-06	0.000107283410456501
Unclassified_f__Peptostreptococcaceae	group	LPRD	1.21134462897245	0.25093767146147	151	58	3.39566877754727e-06	0.000114094470925588
g__Haemophilus	group	LPRD	-3.38158036426003	0.709901764148215	151	126	4.47370358369325e-06	0.000140921662886337
g__Erysipelotrichaceae_UCG.003	group	LPRD	0.925561310115494	0.196955864708246	151	28	5.88690397276741e-06	0.000174529388369104
g__Stomatobaculum	group	LPRD	-0.808657992999329	0.174494732667435	151	147	7.75785951241127e-06	0.000217220066347516
g__Neisseria	group	LPRD	-2.22972512435441	0.489315832022271	151	151	1.0739760977729e-05	0.000284886291198705
g__Streptococcus	group	LPRD	-2.02352043129448	0.449927392665691	151	151	1.37464256501031e-05	0.000346409926382597
g__Actinobacillus	group	LPRD	-2.41438764898899	0.547128824469252	151	134	1.94649180957329e-05	0.000467158034297589
g__Blautia	group	LPRD	1.89651092256651	0.446277694406835	151	127	3.75891604209999e-05	0.00086113349328109
g__Aggregatibacter	group	LPRD	-2.38304925143914	0.562376751746222	151	136	3.94509701360508e-05	0.000864490823850852
g__RF39	group	LPRD	-1.32991576932366	0.317970609297671	151	79	4.90235542355277e-05	0.00097783443534458
g__Parabacteroides	group	LPRD	1.77720317796203	0.42445230731184	151	65	4.81553383480214e-05	0.00097783443534458
g__Lautropia	group	LPRD	-1.6110083425	0.385847134467212	151	124	5.04438399185696e-05	0.00097783443534458
g__Christensenellaceae_R.7_group	group	LPRD	1.80807177136907	0.439886713674756	151	76	6.50215353465854e-05	0.00121373532646959
g__Achromobacter	group	LPRD	-0.874679191506759	0.216925493615823	151	40	8.79259374708371e-05	0.00158266687447507
g__Lachnoanaerobaculum	group	LPRD	-0.806397980282212	0.201754597890478	151	151	0.00010060803208277	0.00174849821274884
g__Gemella	group	LPRD	-1.57073984241732	0.403450392540321	151	140	0.00014881220580459	0.0025000450575171
g__Tagaea	group	LPRD	0.661686385590782	0.175560146294856	151	22	0.000235621859961069	0.00383075540065738
Unclassified_f__Ruminococcaceae	group	LPRD	1.24348453588597	0.332448027192081	151	31	0.000261523158833065	0.00411898975162078
g__Agathobacter	group	LPRD	1.53819558648294	0.416398756182676	151	47	0.00030927307098801	0.0047234432659987
g__Ochrobactrum	group	LPRD	-0.643809714261952	0.176512911810423	151	35	0.000365607283701413	0.0054195903231033
g__Ralstonia	group	LPRD	-1.74612916383111	0.483162955229307	151	112	0.000411773163154943	0.00592953354943117
g__Rikenellaceae_RC9_gut_group	group	LPRD	1.33749930075992	0.376501008668042	151	123	0.000511433191767655	0.00716006468474717
g__Rothia	group	LPRD	0.713332500027441	0.201741299475918	151	151	0.000541929498968913	0.00718769651264032
g__Porphyromonas	group	LPRD	0.727770303057024	0.205404023437579	151	151	0.000528400722884606	0.00718769651264032
g__Granulicatella	group	LPRD	-1.47812787631263	0.4333910801028	151	138	0.000834339400955536	0.0107822322585023
Unclassified_NA	group	LPRD	1.02374691119338	0.306070061306159	151	50	0.00104181558255857	0.012860884302239
g__Faecalibacterium	group	LPRD	1.82019298507988	0.544388941234945	151	62	0.00104622273093611	0.012860884302239
g__Fusicatenibacter	group	LPRD	1.06307627513968	0.32213083002379	151	26	0.00120917606078838	0.0145101127294606
g__UCG.002	group	LPRD	1.10822521867737	0.342175878951336	151	25	0.00148026075662056	0.01695571412129
g__Campylobacter	group	LPRD	-0.899739850634146	0.277584319010851	151	151	0.00146789779951382	0.01695571412129
Unclassified_NA.25	group	LPRD	0.465519323183279	0.144152458187088	151	21	0.00152648298926718	0.0170966094797924
g__Abiotrophia	group	LPRD	-0.708341356009867	0.220571012545971	151	41	0.00161848019997904	0.0177329134954225
g__Dadabacteriales	group	LPRD	0.426222138359002	0.134187945181059	151	22	0.0018133249643395	0.0194450166388747
g__Coriobacteriaceae_UCG.002	group	LPRD	-0.943408041406358	0.300402614985778	151	54	0.00203455409969591	0.021362818046807
g__Roseburia	group	LPRD	1.29010267614664	0.412598804635813	151	95	0.0021256109948169	0.0218634273752596
g__Collinsella	group	LPRD	1.14898189239679	0.37364793031414	151	33	0.00250439081221503	0.0252442593871275
g__NK4A214_group	group	LPRD	1.07736478711266	0.354363372284214	151	69	0.00279290731851459	0.0255931870642064
g__.Eubacterium._coprostanoligenes_group	group	LPRD	1.39663786217562	0.458764587399854	151	95	0.0027576649659656	0.0255931870642064
g__Capnocytophaga	group	LPRD	1.12462121115499	0.368341440783354	151	151	0.00268224854612485	0.0255931870642064
g__Saccharimonadales	group	LPRD	1.3236727755358	0.434937959365537	151	140	0.0027661750419756	0.0255931870642064
g__Eikenella	group	LPRD	-1.15123253234583	0.37845880352901	151	97	0.00277885763203622	0.0255931870642064
