feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Phocaeicola	group	IBS-D	-2.2229764578697	0.294642702710717	62	9	2.93722627550195e-10	2.23229196938148e-08
g__Campylobacter	group	IBS-D	-2.69741066905296	0.484990476726029	62	57	6.53656421550334e-07	2.48389440189127e-05
g__Fretibacterium	group	IBS-D	-1.74325128005583	0.350974849231855	62	9	5.96807608697426e-06	0.000151191260870014
g__Lautropia	group	IBS-D	-2.95477650369801	0.635968597054414	62	50	1.89708825659383e-05	0.000308314348245715
g__Pseudomonas	group	IBS-D	2.26984586142313	0.493139686365116	62	53	2.21221411077242e-05	0.000308314348245715
g__Cloacibacterium	group	IBS-D	-2.04087117361237	0.446008091332848	62	11	2.43406064404512e-05	0.000308314348245715
g__Rothia	group	IBS-D	-2.03487474966782	0.474188204142593	62	62	6.5727952517521e-05	0.000713617770190228
g__Bacteroides	group	IBS-D	-1.35133186039775	0.323423856009887	62	7	9.67759701311979e-05	0.00091937171624638
g__Mobiluncus	group	IBS-D	-0.872489479320602	0.250779860596518	62	8	0.000943161506663601	0.0079644749451593
g__Peptostreptococcus	group	IBS-D	1.76306584595943	0.544968484671254	62	61	0.00197950579704177	0.0150442440575174
g__Arthrospira	group	IBS-D	-1.77326933501207	0.561310742888108	62	11	0.00247834811773186	0.0171231324497838
g__Alloprevotella	group	IBS-D	1.09411439927035	0.433167223814525	62	62	0.0142000391303098	0.0882882883120122
g__Odoribacteraceae..G5.	group	IBS-D	-1.62864765110842	0.650994790003187	62	32	0.0151019440533705	0.0882882883120122
g__Dialister	group	IBS-D	-1.88060432510754	0.765472042065204	62	31	0.0169280102192433	0.0918949126187491
g__Kingella	group	IBS-D	-1.27545045027825	0.559016510534227	62	23	0.0260757602345408	0.115289507089738
g__Odoribacteraceae..G3.	group	IBS-D	-0.820338540911066	0.353230693023374	62	10	0.0236225554500707	0.115289507089738
g__Parvimonas	group	IBS-D	2.06942770420197	0.89604120307162	62	55	0.0243731293359007	0.115289507089738
g__Oribacterium	group	IBS-D	-0.785913140590691	0.347377630467817	62	62	0.0273054095738852	0.115289507089738
g__Paludibacteraceae..G1.	group	IBS-D	-1.39127247180926	0.6477970215765	62	23	0.0357864660510335	0.138482535163065
Unclassified_NA.3	group	IBS-D	2.08263407639241	0.992481046859346	62	41	0.0400870496524662	0.138482535163065
g__Lachnospiraceae..G8.	group	IBS-D	-1.30054335384199	0.610313892125261	62	24	0.0372010542929248	0.138482535163065
g__Catonella	group	IBS-D	-0.870992491382576	0.411939137062612	62	61	0.0386476431238153	0.138482535163065
g__Gallibacter	group	IBS-D	-0.727584512505446	0.356151586816012	62	9	0.0454618172132717	0.150221656878637
g__Anaerovoracaceae..G1.	group	IBS-D	0.929629384968243	0.471829605326084	62	61	0.0534279978741829	0.169188659934913
Unclassified_NA.1	group	IBS-D	-0.985248570002627	0.521957689468973	62	10	0.0639184943089182	0.192945650808212
g__Hallella	group	IBS-D	1.39216456263706	0.743465464296252	62	33	0.0660077226449146	0.192945650808212
g__Corynebacterium	group	IBS-D	-1.1031024912226	0.638351806361593	62	38	0.0891235897042037	0.25086640064887
Unclassified_f__Neisseriaceae	group	IBS-D	-0.668926643282896	0.3970350463655	62	10	0.0972214888436014	0.263886898289775
g__Actinomyces	group	IBS-D	-1.2692078988487	0.808568277037674	62	56	0.121744573019792	0.312179830000504
g__Mogibacterium	group	IBS-D	-0.892364617432018	0.570801450590938	62	51	0.123228880263357	0.312179830000504
g__Sneathia	group	IBS-D	-0.845133232162616	0.579475726971195	62	12	0.149933175313119	0.356091291368658
g__Filifactor	group	IBS-D	-0.892798403893735	0.611027578271353	62	29	0.149193774306329	0.356091291368658
g__Neisseria	group	IBS-D	0.58971461820817	0.434954514561307	62	62	0.180241631349502	0.402893058310652
g__Lachnoanaerobaculum	group	IBS-D	-0.51932569573387	0.381208894535755	62	61	0.178191558754849	0.402893058310652
g__Riemerella	group	IBS-D	-0.792328474928583	0.603889170062843	62	60	0.19450336809284	0.422350170715882
g__Schaalia	group	IBS-D	-0.496141871225345	0.42976643539872	62	62	0.252895051223854	0.509314165749586
g__Mitsuokella	group	IBS-D	-0.731694510094402	0.619368857960318	62	13	0.242123151220153	0.509314165749586
g__Lachnospiraceae..G2.	group	IBS-D	-1.03268702892005	0.897893378023235	62	41	0.254657082874793	0.509314165749586
g__Selenomonas	group	IBS-D	-0.759885304859665	0.702255956844905	62	56	0.283554203795827	0.525612670450802
g__Hoylesella	group	IBS-D	0.556630161924134	0.507066590508949	62	62	0.276701482101109	0.525612670450802
g__Abiotrophia	group	IBS-D	-0.420329036891459	0.380256105677189	62	12	0.273406017223163	0.525612670450802
g__Eikenella	group	IBS-D	0.674586035385637	0.636377225377101	62	8	0.293374564561853	0.526193772815179
g__Leptotrichia	group	IBS-D	-0.838404225804017	0.836556844230754	62	60	0.320267822286059	0.526193772815179
g__Treponema	group	IBS-D	-0.978160683844601	0.943397868609586	62	50	0.303967182491486	0.526193772815179
